c_episode,c_packages,c_rate,c_power,b_episode,b_packages,b_rate,b_power
0,0,38,1.0,1374,0,28,0.7368421052631579,658
1,1,38,1.0,1354,1,27,0.7105263157894737,704
2,2,38,1.0,1342,2,28,0.7368421052631579,585
0,0,38,1.0,1354,0,31,0.8157894736842105,477
1,1,38,1.0,1377,1,29,0.7631578947368421,593
2,2,38,1.0,1359,2,30,0.7894736842105263,657
3,3,38,1.0,1360,3,29,0.7631578947368421,523
4,4,38,1.0,1368,4,29,0.7631578947368421,561
5,5,38,1.0,1333,5,32,0.8421052631578947,621
6,6,38,1.0,1352,6,28,0.7368421052631579,713
7,7,38,1.0,1381,7,28,0.7368421052631579,625
8,8,38,1.0,1345,8,27,0.7105263157894737,1010
9,9,38,1.0,1372,9,29,0.7631578947368421,615
0,0,113,1.0,6401,0,89,0.7876106194690266,1739
1,1,113,1.0,6409,1,79,0.6991150442477876,2841
2,2,113,1.0,6415,2,83,0.7345132743362832,1860
3,3,113,1.0,6423,3,81,0.7168141592920354,2138
4,4,112,0.9911504424778761,6448,4,78,0.6902654867256637,2154
5,5,113,1.0,6399,5,85,0.7522123893805309,1828
6,6,113,1.0,6372,6,80,0.7079646017699115,2030
7,7,113,1.0,6440,7,74,0.6548672566371682,2894
8,8,113,1.0,6410,8,72,0.6371681415929203,2347
9,9,113,1.0,6368,9,78,0.6902654867256637,1940
0,0,188,1.0,14485,0,135,0.7180851063829787,3116
1,1,188,1.0,14536,1,124,0.6595744680851063,4178
2,2,188,1.0,14441,2,137,0.7287234042553191,3250
3,3,187,0.9946808510638298,14473,3,145,0.7712765957446809,4295
4,4,187,0.9946808510638298,14542,4,125,0.6648936170212766,3824
